	topic	sentiment	tweets	time
21	3	-	@JhinSpace @katterraa Who is “they” no one told me to get vaccinated. I believe in science 😂 not conspiracy theories. I got vaccinated so I don’t get covid and so there is space for my loved ones if they need an ICU bed I won’t be sick with covid taking one up. “They” don’t have to tell me shit.	2021-11-28 20:38:21+00:00
22	3	-	@katterraa @JhinSpace Absolutely. Again… why getting vaccinated effects the people around you. No we aren’t all perfect. The vaccine just seems like a simple thing to do at this point. You protect yourself and others. I would never hate anyone for being unvaccinated but Like.. cmon 🤷🏻‍♀️	2021-11-28 20:35:51+00:00
23	3	+	"@JhinSpace @katterraa Yes you take the vaccine for yourself so when you contract the virus  you don’t end up in an ICU bed taking away the medical care people need after surgery/ cancer treatment/ heart attacks etc.
You take the vaccine for yourself and to not cause problems for others 👍"	2021-11-28 20:28:34+00:00
24	4	-	Covid is like that ex who won’t let go then tries to catfish under different profiles. Can we just be done?	2021-11-28 20:26:04+00:00
25	2	-	@joncoopertweets The US could have served as a model to the world in its fight against Covid. It would be under control by now but for the previous administration who only seemed to care for money.	2021-11-28 20:20:35+00:00
26	4	-	"Australia, the Netherlands and Austria joined a group of countries including the U.K., Germany, Belgium, Israel and Italy that have detected a strain that authorities say could pose a greater risk of people falling ill with Covid-19 a second time #Omnicron …via @WSJ"	2021-11-28 20:08:35+00:00
27	3	n	@transitbiker @hjelle_brian @pfizer @moderna_tx They’re already in both pipelines.	2021-11-28 20:07:19+00:00
28	4	-	"@sram610 Oh that's so painful driving everywhere in such miserable weather. You should be careful. Due to covid, now days taking holidays are seriously a dream. One has to apply for holiday two months before. I have applied for Christmas week till new year, hoping to get it approved."	2021-11-28 20:06:14+00:00
29	4	-	Chronic loss of mental health supports &amp; check ins that school counsellors can’t deliver while they’re covering classes they aren’t trained to teach at a time youth mental health needs have exploded due to the COVID-19 pandemic &amp; these supports have never mattered more. /6	2021-11-28 19:36:16+00:00
30	3	+	"@Venosta27 He's been so excited to get it he hardly slept last night! What a weird life we live that a 9 year old is excited about a vaccine, but after everything he's been through he knows the value of it."	2021-11-28 19:35:04+00:00
31	4	-	Now mutations of Covid have surfaced. Imagine if vaccines become irrelevant due to the unvaccinated. Morons that have some conspiracy theories in their brain have endangered us. Facts to create an allegorical story. @ThatKevinSmith	2021-11-28 19:34:58+00:00
32	4	-	"Shout out to the staff @CasinoWoodbine - covid protocols tight. Easy to be screened &amp; enter. Clean areas all around. Lots of hand sanitizer stations. Even some wipes to clean the touch surfaces your self if you wanted. Great night of taking our money! 🤣 Kidding aside, nice job"	2021-11-28 19:32:19+00:00
33	3	+	"A lot of the antivax  sentiment is not from people who are seriously afraid of it; it's from people  who believe it's for weaklings,  And in some cases believe the people dying from covid is part of a necessary genetic cull"	2021-11-28 19:15:14+00:00
34	2	-	@thedailybeast I’m I bad for wishing these so-called doctors would succumb to Covid? We don’t need fools like these.	2021-11-28 19:06:24+00:00
35	4	-	"Planning how to use my precious postdoc fellowships' travel money before it's forfeit (it was unable to be used for 2yrs due to covid!), and I've just noticed that the #DOHaD, #ISSHP and #ASAS Perinatal Biology Symposium are all on overlapping dates in different locations 🤦🏽‍♀️"	2021-11-28 18:45:47+00:00
36	4	-	"I haven't been to a movie theater in almost 2 YEARS now because of fucking COVID, so the new #Scream movie is gonna be the first one I see when it comes out in January and I honestly can't wait 😍🖤"	2021-11-28 18:44:31+00:00
37	4	n	"@FlyFrontier ..the border is open for us to drive to @BUFAirport and take flight to @MCO  I’m double vaxed, I’ll be wearing nose/mouth covering.. am I missing anything else? Do I need a neg. Covid test from Canada? #snowbirds 🇨🇦🇺🇸"	2021-11-28 18:38:00+00:00
38	2	-	@disclosetv Remove all Covid restrictions.	2021-11-28 18:32:45+00:00
39	3	n	"As we continue to learn more about the #Omicron variant, what are your thoughts?

I hope at national/federal/local levels we're judicious with the distribution of boosters.

It's the latest example of us learning through Global cooperation, we must advocate for vaccine equity."	2021-11-28 18:32:23+00:00
40	3	+	Vaccine equity is the response. Variants pop up out of low vaccinated areas. …	2021-11-28 18:28:59+00:00
41	3	+	@AndreiManko I guess that covid and it’s variants are now transmissible enough to hunt down everyone not vaccinated.	2021-11-28 18:24:00+00:00
42	2	-	Back in Canada. Had to take a COVID test to re-enter the country (got a free one done at Walgreens) and then at the border crossing we both “randomly” got selected to do a take home test that must be completed within 24 hours. Honestly not worth the hassle.	2021-11-28 17:56:33+00:00
43	4	-	"@tferriss I ended up getting COVID back in March, 2020 in NYC. I still have some symptoms almost two-years later, they seem to be slowly going away and I 100% agree with your caution around it."	2021-11-28 17:33:09+00:00
44	1	n	@ThinkVReact Reported for vaccine misinformation	2021-11-28 17:29:48+00:00
45	4	-	"@_Nataleah So, me saying that a doctor (who just happens to a Black woman), should exercise more safety and precaution re: COVID transmission, something she admits to &amp; apologizes for herself, is tied to ""mansplaining"". Okay, you're losing me now. I wrote ""safety over selfies"" = wear a mask"	2021-11-28 17:26:40+00:00
46	4	+	@lemieuxdavid Really looking to post Covid bash. Food by Dave music by @lucky_budd	2021-11-28 17:26:02+00:00
47	3	-	@kenklippenstein By having vaccines that actually prevented people from catching the disease; unlike the COVID vaccines that minimize symptoms while still allowing the transmission and reception of the virus.	2021-11-28 17:19:18+00:00
48	2	n	@UKHSA Remove all COVID restrictions.	2021-11-28 17:13:19+00:00
49	4	n	"As COVID numbers in Ontario continue to climb, I bet Ford’s only thought is how he can conflate these numbers with Omicron and blame Trudeau."	2021-11-28 16:38:07+00:00
50	6	+	"pay grade). As a scientist who know and work alongside many others involved in COVID research, I think the intention of most is for the best."	2021-11-28 15:47:01+00:00
51	4	-	"@BonScotsWelsh Followed. Love Scotland, Glasgow is my hometown. Bug plans to go back but this COVID thing is throwing a wrench into them, cancelled again until Sept. 2022🤞🤞🤞🤞🤞"	2021-11-28 15:44:40+00:00
52	4	-	"As we await Omicron, anyone seen a chart comparing promised vs delivered vaccine transfers from G20 states to developing states?
I’ve heard 🇨🇦 is a serious laggard"	2021-11-28 15:42:56+00:00
53	2	-	"@KudzaiChatiza2 African Leaders are so numb to this reality unfortunately! I won't be surprised to see no action towards anything. Infact, the cry for vaccine equity still continues with no move towards home driven innovation."	2021-11-28 15:39:06+00:00
54	6	n	Covid-19-3.1415926535 8979323846 2643383279 5028841971 6939937510 5820974944 5923078164 0628620899 8628034825 3421170679.	2021-11-28 15:27:15+00:00
55	3	+	"@joncoopertweets ...still waiting...have Maderna.. been over 30 years since flue taken, my immune system laughs at COVID...however I will follow all safety protocols and take booster when offered..."	2021-11-28 15:25:01+00:00
56	4	-	"@RodneyC18186863 ..let global warming, climate change and variants of COVID-19 take care of that .."	2021-11-28 15:22:19+00:00
57	4	-	"PS: There's no Covid at a Santa Claus parade in St John's, NL.

Not many mask wearers!!"	2021-11-28 15:18:49+00:00
58	5	+	@Cookiecover1 @DrVivianS @RodPhillips01 I was asked twice during the pandemic if Mom is still full resuscitate including being asked by Mom's family doctor in LTC.  I have said while Mom and Dad are both alive and still knows each other and enjoy each other's company it would be full resuscitate on both even if covid!	2021-11-28 15:15:04+00:00
59	2	-	@jkwan_md How do you feel about provincial workplace rules that allow people to work unmasked if at least 2m apart from each other? Because with COVID-19 being airborne &amp; vaccine mandates not being in place where I work I’m not thrilled.Capacity is reduced but that &amp; masks would be better	2021-11-28 15:02:19+00:00
60	2	n	"@VoiceOfFranky Don't ignore.  Au contraire.  Please delve into the nature of their support for the PPC w polls and/or a focus group
Explore the issue of vaccines.
Try to determine if only the PPC vaccine policy draws them in.
Also explore disgruntlement with other parties, particularly the CCP."	2021-11-28 15:00:59+00:00
61	6	n	@globeandmail Hot people can’t get COVID.	2021-11-28 14:47:52+00:00
62	3	+	"@CBCSunday @piya @zchagla @KHayhoe @michaelcoren @ottolenghi @Noorishbynoor Good points on the rate of vaccination disparities. The reality is that the rich countries will always benefit, unless the virus causes devastation in their own, by people from countries in the “poor” section of the divide. Coupled with vaccine hesitancy Covid19 is here to stay."	2021-11-28 14:29:49+00:00
63	4	-	"@greg_rains @CBCNews We all know that was a complete lie. Golden rule. Respect others, stop the click bait, and enjoy life. If you’re scared of covid. Be scared. If you’re not. Don’t be. To each their own ❤️."	2021-11-28 14:29:35+00:00
64	2	n	"@JustinTrudeau We just went through 3 Canadian airports and NOT ONCE were we required to prove our COVID vaccination status, SO WHAT IS THE USE OF YOUR REGULATIONS AT AIRPORTS AND AIR TRAVEL IN CANADA?"	2021-11-28 14:17:51+00:00
65	4	-	@kamvachonn Oh my goodness have fun!! It’s going to be amazing.  I WAS in a long distance relationship (separated by covid) with someone in Australia. It’s tough!	2021-11-28 14:12:42+00:00
66	4	-	"“Man Who Went To COVID Party to Build Immunity Dies From the Virus”

Well, it worked. He’s totally immune now."	2021-11-28 13:43:04+00:00
67	6	n	"@ian_mendes 1) this team was never making the playoffs
2) DJ hasn't changed one bit from when everyone loved him
3) they've been in most games, had lots of bad luck, had covid and a  layoff with no practice
4) day off today followed by 2 practice days
5)they will win some games chill out"	2021-11-28 13:31:30+00:00
68	4	-	"@DoyleJFtC @Mat_Germain_ JRam made the news back in March for breaking covid protocols and I’d swear I remember people saying he was a very vocal anti vaxxer.
IF that’s true, that takes the Jays out of the running to trade for him."	2021-11-28 12:42:50+00:00
69	6	-	"If we can't find a cure for the common cold by now, wtf makes everyone think we can create a cure for covid? None of this shit works. Come on people. Get real"	2021-11-28 12:29:58+00:00
70	3	-	"@washingtonpost The vaccine does not work, stop pushing on people"	2021-11-28 12:27:44+00:00
71	3	+	@Cameroon_Com I hear you bro but next year Rwanda will be producing the pfizer vaccine locally. I know it always boils down to leadership void in every aspects with most African nations. We need to get better.	2021-11-28 12:14:18+00:00
72	4	-	"I’ve been all across Canada 🇨🇦 and travelling domestically would help because I wouldn’t have to stress about getting a Covid negative (paying and waiting for the results) So even if I wanted to, I just don’t know. 🤷🏻‍♀️😐 I love my country but it sure is so boring. Jesus."	2021-11-28 11:51:35+00:00
73	6	n	"@still_a_nerd 😂😂😂 just so everyone knows I'm just joking, just joking ..... wonder what happened to Rolland Baker III???
did you get kicked off Twitter like you got kicked off Twitter, like he got kicked off Twitter covid-19 panel 🤷🏼‍♂️ I noticed the other day 👊👊"	2021-11-28 10:51:01+00:00
74	4	+	I’m a #cancer girl Living in a #covid world Such a curse Why will I ride in the hearse Throw confetti from the sunroof as we drive by And light fireworks in the sky #WritingCommunity #poetry #writers #onelife #onedeath #CNFtweet	2021-11-28 10:21:16+00:00
75	3	-	"@NursesOntario More ppl will perish, as a result of misinformation about vaccine. With yet another variant,  this will get worse. Sorry about your friend."	2021-11-28 10:03:28+00:00
76	4	-	@iamcardib I've been  locked alone in my apartment since covid. Bored is an understatement. A private masseuse woukd be nice.	2021-11-28 08:26:59+00:00
77	4	-	@HaterJuliet @LaurenGruel Only once on a plane? How many times eat at restaurants then ? Need a flu shot proof ? And don’t call me anti-vaccine blah blah. I got flu shot every year and got my both Pfizer shots maybe booster shot too . No one should show “shot proof” to eat at a restaurant.	2021-11-28 08:26:32+00:00
78	3	-	"@lollanna I've been saying this for months: what if a varient comes along that the vaccine doesn't protect us from, we'll have to start over. I read yesterday that Pfizer can have a new vaccine available in 100 days. I hope it doesn't come to that."	2021-11-28 07:36:58+00:00
79	4	-	@slack4life First BH Christmas to miss in what 12 years mini last year Covid. It’s a bit hard on me tonight. Hope you all are having a much needed great time ❤️.	2021-11-28 06:52:02+00:00
80	3	+	"@WalshFreedom Opting out of vaccine by buying into misinformation and discounting the possibilities of hurt makes sense.  ‘Heroes in our own minds’ the folly of western thought, sadly."	2021-11-28 06:46:54+00:00
81	3	+	"If covid don’t kill us, at least we learned greek #Omicron #covidvariant"	2021-11-28 06:08:41+00:00
82	3	n	"@Ale_IT_CA @CPita3 lengthening the dose interval, but did the research with their own data to convince NACI to follow suit.

This preprint is the wider follow up, the ‘Delta’ part of the research.

With efficacy still high and Moderna and Pfizer sitting on trialed tailored to Delta …
2/"	2021-11-28 06:03:40+00:00
83	6	n	"@wannabeemmi @CorpseGameplay5 That was BEFORE covid… but still 🤢 &amp;
Cause he’s disgusting"	2021-11-28 06:02:07+00:00
84	1	n	The fact that the “Spanish” Flu pandemic of 1918 was first observed in the US should tell us that discovery / reporting and origin are not the same thing. SA is now the Spain of the covid 19 pandemic.	2021-11-28 05:47:09+00:00
85	3	n	Its not About a health pandemic anymore when citizens are getting the vaccine to be able to have there freedoms rather then getting the vaccine  to ensure their health is secure.. Lets think logically...	2021-11-28 05:27:33+00:00
86	6	n	@nicolebarnes514 @ReallyAmerican1 Pfizer was self funded not part of warp speed	2021-11-28 05:20:39+00:00
87	3	+	"@niemkiewiczIP @CPita3 Nothing of the sort. She was right about longer intervals, Pfizer’s own data showed that, BC’s real world outcomes/data did as well. Her work and our PHO’s decision allowed more doses of a scarce vaccine to get into arms — resulting in more lives being saved."	2021-11-28 04:44:57+00:00
88	4	-	"@daniel_foch There is major deflation since covid started in my underwear and socks ,it seems like they are disappearing slowly like my puchasing power."	2021-11-28 04:42:13+00:00
89	6	n	"@Ale_IT_CA @CPita3 She didn’t just casually notice something in someone else’s research data. And she is well known for her original research on flu vaccine efficacy — that’s her thing, what she is best at. She literally wrote the manual. But you already know that, don’t you?"	2021-11-28 04:38:01+00:00
90	5	n	Has anyone done the math/homework on how many variants of COVID it will take to wipe the world clean?	2021-11-28 04:31:16+00:00
91	4	+	I am delighted to learn that I do not have covid and thus can return to Los Angeles on Monday. 🥶	2021-11-28 04:23:04+00:00
92	4	+	"@ZeroCovfefe @JayVee5247506 @Brian_Orak @NervousKitty1 She has a following here in Canada too — but when she started openly credential shaming other COVID scientists, I lost all respect for her."	2021-11-28 04:09:26+00:00
93	4	-	"I have a friend who is totally unaware of the outrageous inflation we are suffering, because he makes so much money he is unaware of what things cost. He has been totally protected through “the pandemic.” It seems that Covid-19 only touches the lower classes. #NoMore"	2021-11-28 04:03:22+00:00
94	3	+	@MenOnTarget1 @TPSOperations @joe_warmington Such a clueless evil person advocating vaccine avoidance.	2021-11-28 04:00:09+00:00
95	3	+	Guess I triggered anti-vaxx and pos with that tweet that vaccine doesn't shield you from getting covid but protects you from the worst of it. All their replies are hidden by twitter 😂	2021-11-28 03:44:56+00:00
96	2	-	"I swear to fuck if i see NL gov pull back covid measures with the new variant coming any day.
I will lose it."	2021-11-28 03:04:14+00:00
97	2	+	@KarenAttiah Better keep your distance. Cats can catch COVID.	2021-11-28 03:03:09+00:00
98	3	-	@JCCWhyte I have a toddler who cannot be vaccinated and I know people who are fully vaccinated and are now dealing with long covid. I know this won’t last forever but I’m not feeling optimistic.	2021-11-28 03:01:05+00:00
99	5	+	@Anahidjanjan @fordnation You are absolutely correct. My father has been a researcher of Melatonin for decades and has helped with the studies on the affects it has on COVID. It has been proven time and again in blind studies that it reduces the symptoms of COVID dramatically.  This needs more attention	2021-11-28 02:22:37+00:00
100	4	-	@FragMetalhead It's been all sorts of bad like I said missed 3 of the past six seasons and it would five without the covid shit show. #habs	2021-11-28 02:17:26+00:00
101	4	-	"Even lavender chamomile tea, knitting, and an ep of the great Canadian baking show couldn’t quell my anxiety about having to work covid case mgmt tomorrow. Honestly wish we were in lockdown again but we gotta keep tHe EcoNoMy alive who cares how many lives we sacrifice to do it"	2021-11-28 02:13:48+00:00
102	6	n	"Have seen more death in a mnth than I care to comment on...but it's not covid...its dementia, old age and stroke. I work in LTC. Not an easy job."	2021-11-28 01:50:47+00:00
103	4	-	"@anthonychien Oh yes indeed! I've just not been noticed yet in so so many places... 😈

#Omicron #WorldTour 2021/2022 #EuropeanTour #AmericasTour #MiddleEastTour"	2021-11-28 01:41:08+00:00
104	3	+	"@NumbrOneBossMan @julianne_wiley It's the fault of those who did not get vaccinated that the double vaccinated are getting CoVid. Obviously.
😂"	2021-11-28 01:13:16+00:00
105	2	-	"Very frustrating to see ushers tell people about the mask rule and see them disregard it completely, especially after my entire family just got over having COVID 🤬🤬"	2021-11-28 01:11:18+00:00
106	4	-	"@erinotoole How is our national unity threatened?  Your party is the threat.  Instead of setting an example, your MP's are fighting vaccinations and their selfishness will keep COVID around.  Unbelievable."	2021-11-28 00:53:05+00:00
107	3	+	"Antivax: if you don't want to make peace with the vaccine, do it with your Lord. You'll need it.
Iamarino, @oatila, 2021."	2021-11-28 00:31:40+00:00
108	4	-	"@ItsGoneAwry I'm a fat guy who needs to lose weight. I have a number of health issues, all of which will be improved by losing weight. I know I need to do it. And I know it puts me at higher risk if I get Covid. It's just the facts."	2021-11-27 23:52:38+00:00
109	4	-	@annemariegall @Brekkietweets @imacelebrity If there were any double standards they'd have put Richard back in. He was one of the most popular and would keep their ratings high. There's no conspiracy. It's just Covid.	2021-11-27 23:52:34+00:00
110	3	+	"@cripcryptid It's like people putting potato on the injection site after. Like it's not going to do what you think it will but it's not going to hurt them or anyone either. If it gets them to get the vaccine, it's good."	2021-11-27 23:35:29+00:00
111	4	-	"@Gregory_Gains @1motherwolf @Richard93356649 How do you know covid won't lay dormant and resurface at some point in the future?  Happened to me with chicken pox virus, and I ended up with Bell's palsy some 25 years later. You just never know."	2021-11-27 23:31:40+00:00
112	4	-	"@tcdikgaka @BWGovernment @MIACBW @Lemskwape @MoHWBotswana Have you seen the Canada one .. Since covid began we had 5 to 7 daily at Federal level, except weekends.. followed by 2 or 3 at each Provincial level the Doctor, Premier, minister of health.. so 3 daily ..when vaccination started they reduced briefings to several days a week .."	2021-11-27 23:17:59+00:00
113	3	+	"@pwmct1241 @MdRisette This. I can not wrap my head around the logic of anti-vaxxers who go on about vaccine testing being insufficient, but are more than willing to guzzle ivermectin and hydroxychloroquine based on anecdotes."	2021-11-27 22:55:27+00:00
114	4	-	@NFL_DovKleiman Are they making up for lost revenue during Covid 2020 season?!?! Such bullshit. #fireGoddell	2021-11-27 22:51:31+00:00
115	4	-	"Oh ok.....further travel plans are further at risk......very nice

This variant....that variant....this vaccine....that vaccine.....this mutation that mutation"	2021-11-27 22:20:20+00:00
116	2	n	"What are we going to do now Mr .Prime Minister?
I’m talking about the new mutation of Covid Omicron?"	2021-11-27 21:59:59+00:00
117	3	+	"@cannabianski @spearster55 Yes but Salk gave up the patent so the vaccine could be used far and wide.  Today vaccines are not making it to low income people at risk so they can be sold as boosters to rich westerns for profit of corps. That's not for the betterment of society like salk, it's just Capitalism"	2021-11-27 21:53:18+00:00
118	4	-	"@cannabianski @spearster55 Some people sacrificed their financial gain for society...
""Salk was immediately hailed as a ""miracle worker"" when the vaccine's success was first made public, and chose to not patent the vaccine or seek any profit from it in order to maximize its global distribution."""	2021-11-27 21:51:14+00:00
119	3	+	"Today my 11 year old joined House Pfizer. He was excited, yet nervous at the same time, more about the needle than the vaccine.

It was amazing seeing so many kids at the clinic. @TBDHealthUnit did an amazing job with distractions and stickers for the kiddos, plus colouring after"	2021-11-27 21:32:08+00:00
120	4	-	@reporterchris Confused. Ottawa with all the COVID cases picks up the guy who caused all the COVID cases in Vancouver	2021-11-27 21:29:55+00:00
121	6	n	"What a disgrace from the Portuguese league, whether the team asks for postponement or not league has to step in. Benfica playing a team with a COVID outbreak that fielded only 9 u-23 players 2 which are goalies, no subs. Disgusting product that wonders why the league doesn’t grow"	2021-11-27 21:29:18+00:00
122	4	+	@NightShiftMD @nilikm This women is amazing and incredibly brave. One of my Covid heroes!	2021-11-27 21:08:45+00:00
123	4	-	"Everett joined minivandal in January 2020, just soon enough to play exactly 1.5 shows with the band before COVID hit. That’s quite the intermission. Dec. 2nd can’t come fast enough!"	2021-11-27 21:02:31+00:00
124	3	+	@Gurrzy4 @AHS_media Clearly you don’t listen to me or you would already know I’m pro vaccine. So.	2021-11-27 20:53:32+00:00
125	4	-	"@ProLifeAll There're variants around every corner until people get vaccinated. Variants are emerging from countries with nominal vaccination rates and limited resources to buy vaccine. We're in for the ride of our lives this winter. In charity, scapegoating Fauci is becoming your obsession"	2021-11-27 20:48:08+00:00
126	2	-	"@erinotoole But you will stay silent as the government continues to abuse its citizens with the Covid response.

Remove all Covid restrictions."	2021-11-27 20:30:37+00:00
127	3	n	@plcaseley That 0-2 vaccine can’t come soon enough	2021-11-27 20:16:02+00:00
128	4	n	Let's stay safe out there guys. #Covid #NewVariant #GetVaccinated	2021-11-27 20:10:46+00:00
129	4	-	"#COVID19 cases increasing daily in our community 😢 and we are told to have #Faith in the vaccine , well I’m losing faith to be honest"	2021-11-27 20:08:50+00:00
130	3	+	"@IanGMackie1 @JustinTrudeau @cafreeland The provinces tried to secure vaccines, but those commitments lapsed. As the article says, the federal government signed the contracts for the over 120 million doses of the vaccine. These could have gone to other countries, especially to prevent mutations in immunocompromised ppl"	2021-11-27 20:04:52+00:00
131	4	-	"COVID virus could be in the lungs and not in throat hence false negative COVID test .., be aware"	2021-11-27 19:59:36+00:00
132	2	-	"@ellisbross Why are you completely silent about the ongoing repression and abuse of British Columbians by the govt as part of the Covid response?

Time to remove all Covid restrictions."	2021-11-27 19:53:14+00:00
133	6	n	"Feel free to correct me if I'm wrong...but just because you have ""Dr"" in your title, doesn't mean you're an automatic authority on virology. I see a lot of ""health authorities"" offering up their take on covid without having the proper background."	2021-11-27 19:50:56+00:00
134	2	-	My dad and I are so flabbergasted at how widespread masks are…fucked up that we’re conditioned to expect a third of the population at most to actually care about covid lol	2021-11-27 19:47:42+00:00
135	2	n	"@SweetTreat80 Pfizer is the same dose. Moderna is half dose except for immunocompromised, those over 70 and those living in congregate settings when it’s full dose"	2021-11-27 19:32:18+00:00
136	2	n	@ResisterSis20 Their future will be further limited by the deaths of the unvaccinated who are 14 times more likely to die when they contract COVID	2021-11-27 19:28:34+00:00
137	3	-	@Stockverse_ @LadeBackk The vaccine isn’t even FDA  approved so who’s the 🤡.  It was approved for emergency use.  F that I’ll take a shot for a dinky virus that has a 99.9% survival rate.  Ya blow me.	2021-11-27 19:26:21+00:00
138	4	-	@tbasque78 @HabsolutelyNHL You should because winning is not gonna help anything at this point … the fluke finals run and the lucky Covid influenced playoff spots have set this club back another decade	2021-11-27 19:22:05+00:00
139	4	-	@Ben_S_Harper Are you sure covid doesn't come in a series of tubes?	2021-11-27 19:11:42+00:00
140	3	+	"@StriveGreatnes1 @MikeMarkz @LadeBackk @elonmusk He wasn't a tech guy until he created PayPal.  He wasn't a car guy until he gave us Tesla.  He wasn't a rocket scientist until he gave us Space X.  And not to mention, he wants to start a pharmaceutical company that deals with covid vaccines.  Never say never."	2021-11-27 19:03:57+00:00
141	3	+	"@rdumont99 @chantz_y I think that’s more of a Moderna/Pfizer issue of hedging bets, slowing the process out for ‘reasons’."	2021-11-27 18:49:55+00:00
142	3	-	"Sounds like the vaccine isn't enough to prevent ridiculous measures against any new variants, so what's the incentive for anyone to get boosters etc? And don't say free cheeseburgers."	2021-11-27 18:44:24+00:00
143	4	-	"also PLEASE do not sleep on your side, on the side you got a vaccine in. VERY BAD IDEA"	2021-11-27 18:43:23+00:00
144	3	+	Today is a good day.  I just found out that my son was in a news conference yesterday commenting on the Covid-19 vaccine for kids aged 5-11.  He's a Pediatrician working in 2 different hospitals in @RegionWaterloo.  Also found out that 2 of my Grandkids got their first dose.	2021-11-27 18:32:44+00:00
145	3	+	"The Covid-19 antivaxers and the Covid-19 vaccinated can never enjoy meaningful conversations.

They can only be casual acquaintances, if that."	2021-11-27 18:30:17+00:00
146	4	n	@ONradiopodcast since  covid  started I've become a bath before bed guy. If you  twist your body the only thing out of the  water is the  tops of your  knees.	2021-11-27 18:29:23+00:00
147	3	+	very happy that my vaccine side effects are mostly done and only lasted 1 day! I'm still not 💯 today but oh god yesterday i was suffering	2021-11-27 18:22:29+00:00
148	3	+	"@IshatReza @anik1968 I am vaxxed to protect myself.  If someone else doesn't want to protect themself, why do I care?

Fact:  Vaxxed people can spread Covid same as the unvaxxed. 

We should stop this high horse judgement of the unvaxxed."	2021-11-27 18:21:18+00:00
149	1	-	Y'all believe this new covid variant bullshit? Sounds a little fishy to me	2021-11-27 18:20:12+00:00
150	4	+	new covid strain maybe my wish might come true 🥲	2021-11-27 18:19:55+00:00
